Time,Packet ID,From Node,To Node,Port,Port Name,Payload
2026-03-14T17:56:50.826Z,3318438479,602477924,3562713424,4,Node Info,"id: ""!23e91564"" long_name: ""赤キツネ"" short_name: ""狐"" macaddr: ""\337\275#\351\025d"" hw_model: XIAO_NRF52_KIT role: CLIENT_MUTE public_key: ""\222[\276\323\223|_\301\203\321\332\226\373\276m\257\2668k\307\254Q:L|\346\243\024\205\204h}"" is_unmessagable: false"
2026-03-14T17:56:55.821Z,2591218324,3562713424,602477924,4,Node Info,"id: ""!d45ab150"" long_name: ""Spacebridge04"" short_name: ""🎈"" macaddr: ""\034\333\324Z\261P"" hw_model: SEEED_XIAO_S3 public_key: ""\226\237ee\007$TA\2327O\321\272=\227\0321`*\332\033\261\261@\000\363\017\253o\235\313@"" is_unmessagable: false"
2026-03-14T17:57:00.043Z,2143209109,3562713424,4294967295,3,Position,"latitude_i: 374937525 longitude_i: -1221519051 altitude: 5997 time: 1773511019 location_source: LOC_INTERNAL timestamp: 1773511019 PDOP: 98 ground_speed: 91 ground_track: 15752000 sats_in_view: 21 precision_bits: 32"
2026-03-14T17:57:20.379Z,3318438484,602477924,3562713424,4,Node Info,"id: ""!23e91564"" long_name: ""赤キツネ"" short_name: ""狐"" macaddr: ""\337\275#\351\025d"" hw_model: XIAO_NRF52_KIT role: CLIENT_MUTE public_key: ""\222[\276\323\223|_\301\203\321\332\226\373\276m\257\2668k\307\254Q:L|\346\243\024\205\204h}"" is_unmessagable: false"
2026-03-14T17:57:30.358Z,3318438487,602477924,3562713424,4,Node Info,"id: ""!23e91564"" long_name: ""赤キツネ"" short_name: ""狐"" macaddr: ""\337\275#\351\025d"" hw_model: XIAO_NRF52_KIT role: CLIENT_MUTE public_key: ""\222[\276\323\223|_\301\203\321\332\226\373\276m\257\2668k\307\254Q:L|\346\243\024\205\204h}"" is_unmessagable: false"
2026-03-14T17:57:30.815Z,3613830806,3562713424,4294967295,3,Position,"latitude_i: 374881836 longitude_i: -1221487185 altitude: 6059 time: 1773511050 location_source: LOC_INTERNAL timestamp: 1773511050 PDOP: 98 ground_speed: 73 ground_track: 15385000 sats_in_view: 20 precision_bits: 32"
2026-03-14T17:57:40.999Z,3318438488,602477924,3562713424,70,Traceroute,"route: 3332088112 snr_towards: -30"
2026-03-14T17:58:00.608Z,3225113239,3562713424,602477924,70,Traceroute,"route: 3332088112 route: 2712104943 route: 2733365596 route: 2688057240 snr_towards: -30 snr_towards: 12 snr_towards: -42 snr_towards: -28 snr_towards: -8"
2026-03-14T17:58:02.167Z,3409642137,3562713424,4294967295,3,Position,"latitude_i: 374826401 longitude_i: -1221453656 altitude: 6123 time: 1773511081 location_source: LOC_INTERNAL timestamp: 1773511081 PDOP: 98 ground_speed: 81 ground_track: 16054000 sats_in_view: 20 precision_bits: 32"
2026-03-14T17:58:32.788Z,3510721178,3562713424,4294967295,3,Position,"latitude_i: 374771325 longitude_i: -1221417826 altitude: 6189 time: 1773511112 location_source: LOC_INTERNAL timestamp: 1773511112 PDOP: 98 ground_speed: 70 ground_track: 15499000 sats_in_view: 20 precision_bits: 32"
